Date,Tweet,Likes,Retweets,Sentiment,Confidence,Tweet_Length,Hashtags_Count,Mentions_Count,URL_Shared,Media_Attached,Reply_Count,Retweet_Flag,Original_Tweets_Percentage,Unique_Word_Count,Positive_Word_Count,Negative_Word_Count,Neutral_Word_Count,Follower_Count,User_Verified,Political_Hashtags_Usage,Keyword_Frequency,Emotion_Score,Time_of_Day,Region
2024-01-01 00:00:00,Vijay Makkal Iyakkam rocks!,459,83,POSITIVE,0.7293525578337692,27,0,0,0,0,83,0,1,4,0,0,27,58727,1,0,0,0.0,Night,West
2024-01-01 01:00:00,Thalapathy Vijay is the leader!,491,110,NEUTRAL,0.590815710939411,31,0,0,0,0,15,0,1,5,0,0,31,66255,0,0,1,0.0,Night,West
2024-01-01 02:00:00,Political impact of Vijay,355,250,POSITIVE,0.6511978701519612,25,0,0,0,0,33,0,1,4,0,0,25,99286,0,0,0,0.0,Night,West
2024-01-01 03:00:00,Thalapathy Vijay is the leader!,495,6,NEUTRAL,0.5254012948444711,31,0,0,0,0,65,0,1,5,0,0,31,25472,0,0,1,0.0,Night,East
2024-01-01 04:00:00,Thalapathy Vijay is the leader!,323,83,NEUTRAL,0.7341502957281926,31,0,0,0,0,98,0,1,5,0,0,31,3742,0,0,1,0.0,Night,North
2024-01-01 05:00:00,Will Vijay succeed?,132,207,NEGATIVE,0.9265640859551184,19,0,0,0,0,39,0,1,3,0,0,19,28101,1,0,0,0.0,Morning,East
2024-01-01 06:00:00,Political impact of Vijay,375,21,NEUTRAL,0.9667902280033448,25,0,0,0,0,27,0,1,4,0,0,25,34164,0,0,0,0.0,Morning,West
2024-01-01 07:00:00,Political impact of Vijay,292,2,NEGATIVE,0.966301103751822,25,0,0,0,0,46,0,1,4,0,0,25,94926,0,0,0,0.0,Morning,East
2024-01-01 08:00:00,Political impact of Vijay,327,126,POSITIVE,0.5626150128143734,25,0,0,0,0,38,0,1,4,0,0,25,14222,0,0,0,0.0,Morning,West
2024-01-01 09:00:00,Thalapathy Vijay is the leader!,126,296,NEUTRAL,0.6910269412555285,31,0,0,0,0,69,0,1,5,0,0,31,24920,1,0,1,0.0,Morning,Central
2024-01-01 10:00:00,Vijay Makkal Iyakkam rocks!,105,187,NEUTRAL,0.5141143798253531,27,0,0,0,0,72,0,1,4,0,0,27,68531,0,0,0,0.0,Morning,North
2024-01-01 11:00:00,Political impact of Vijay,496,13,POSITIVE,0.9275826724857364,25,0,0,0,0,19,0,1,4,0,0,25,55845,0,0,0,0.0,Morning,Central
2024-01-01 12:00:00,Thalapathy Vijay is the leader!,91,11,POSITIVE,0.6793778810106369,31,0,0,0,0,0,0,1,5,0,0,31,50181,0,0,1,0.0,Afternoon,South
2024-01-01 13:00:00,Will Vijay succeed?,286,86,NEUTRAL,0.8155585139461174,19,0,0,0,0,71,0,1,3,0,0,19,71002,0,0,0,0.0,Afternoon,East
2024-01-01 14:00:00,Vijay Makkal Iyakkam rocks!,377,11,POSITIVE,0.8574492190386442,27,0,0,0,0,86,0,1,4,0,0,27,8811,0,0,0,0.0,Afternoon,South
2024-01-01 15:00:00,Will Vijay succeed?,392,24,NEGATIVE,0.7149223348715776,19,0,0,0,0,62,0,1,3,0,0,19,85232,0,0,0,0.0,Afternoon,East
2024-01-01 16:00:00,Vijay Makkal Iyakkam rocks!,50,242,POSITIVE,0.6532211682751214,27,0,0,0,0,66,0,1,4,0,0,27,18893,0,0,0,0.0,Afternoon,Central
2024-01-01 17:00:00,Thalapathy Vijay is the leader!,28,121,POSITIVE,0.9811064550579724,31,0,0,0,0,3,0,1,5,0,0,31,8299,0,0,1,0.0,Evening,West
2024-01-01 18:00:00,Vijay entry trending!,461,146,NEUTRAL,0.9822441125119272,21,0,0,0,0,57,0,1,3,0,0,21,76353,0,0,0,0.0,Evening,West
2024-01-01 19:00:00,Vijay Makkal Iyakkam rocks!,295,54,NEGATIVE,0.6447181840150109,27,0,0,0,0,24,0,1,4,0,0,27,36291,1,0,0,0.0,Evening,East
2024-01-01 20:00:00,Will Vijay succeed?,296,237,POSITIVE,0.7398125483722291,19,0,0,0,0,46,0,1,3,0,0,19,10311,0,0,0,0.0,Evening,West
2024-01-01 21:00:00,Thalapathy Vijay is the leader!,213,172,NEGATIVE,0.9864220793300112,31,0,0,0,0,37,0,1,5,0,0,31,63169,0,0,1,0.0,Night,Central
2024-01-01 22:00:00,Vijay Makkal Iyakkam rocks!,266,220,NEGATIVE,0.5024342038277516,27,0,0,0,0,14,0,1,4,0,0,27,88996,0,0,0,0.0,Night,West
2024-01-01 23:00:00,Vijay entry trending!,406,118,NEGATIVE,0.7063391241895747,21,0,0,0,0,62,0,1,3,0,0,21,56846,0,0,0,0.0,Night,Central
