Date,Tweet,Likes,Retweets,Sentiment,Confidence,Engagement,PopularityIndex,SentimentScore,Success,Tweet_Length,Hashtags_Count,Mentions_Count,URL_Shared,Media_Attached,Reply_Count,Retweet_Flag,Original_Tweets_Percentage,Unique_Word_Count,Positive_Word_Count,Negative_Word_Count,Neutral_Word_Count,Follower_Count,User_Verified,Political_Hashtags_Usage,Keyword_Frequency,Emotion_Score,Engagement_Per_Follower,Time_of_Day,Region
2024-01-01 00:00:00,Vijay Makkal Iyakkam rocks!,459,83,POSITIVE,0.7293525578337692,542,0.6989389920424404,1,1,27,0,0,0,0,85,0,1,4,0,0,27,37048,0,0,0,0.0,0.014629669617793134,Night,East
2024-01-01 01:00:00,Thalapathy Vijay is the leader!,491,110,NEUTRAL,0.590815710939411,601,0.7771883289124668,0,1,31,0,0,0,0,80,0,1,5,0,0,31,37130,0,0,1,0.0,0.016186372205763532,Night,North
2024-01-01 02:00:00,Political impact of Vijay,355,250,POSITIVE,0.6511978701519612,605,0.7824933687002652,1,1,25,0,0,0,0,99,0,1,4,0,0,25,27107,0,0,0,0.0,0.022318958202678273,Night,Central
2024-01-01 03:00:00,Thalapathy Vijay is the leader!,495,6,NEUTRAL,0.5254012948444711,501,0.6445623342175066,0,1,31,0,0,0,0,16,0,1,5,0,0,31,91307,0,0,1,0.0,0.005486983473337203,Night,South
2024-01-01 04:00:00,Thalapathy Vijay is the leader!,323,83,NEUTRAL,0.7341502957281926,406,0.5185676392572944,0,1,31,0,0,0,0,13,0,1,5,0,0,31,91021,0,0,1,0.0,0.0044605091132815505,Night,East
2024-01-01 05:00:00,Will Vijay succeed?,132,207,NEGATIVE,0.9265640859551184,339,0.4297082228116711,-1,0,19,0,0,0,0,8,0,1,3,0,0,19,76872,0,0,0,0.0,0.0044099281923197006,Morning,East
2024-01-01 06:00:00,Political impact of Vijay,375,21,NEUTRAL,0.9667902280033448,396,0.5053050397877984,0,1,25,0,0,0,0,61,0,1,4,0,0,25,22124,0,0,0,0.0,0.017899114084252394,Morning,East
2024-01-01 07:00:00,Political impact of Vijay,292,2,NEGATIVE,0.966301103751822,294,0.37002652519893897,-1,0,25,0,0,0,0,93,0,1,4,0,0,25,39484,0,0,0,0.0,0.007446054097862425,Morning,West
2024-01-01 08:00:00,Political impact of Vijay,327,126,POSITIVE,0.5626150128143734,453,0.5809018567639257,1,1,25,0,0,0,0,20,0,1,4,0,0,25,83012,0,0,0,0.0,0.005457042355322122,Morning,Central
2024-01-01 09:00:00,Thalapathy Vijay is the leader!,126,296,NEUTRAL,0.6910269412555285,422,0.5397877984084881,0,1,31,0,0,0,0,75,0,1,5,0,0,31,18257,0,0,1,0.0,0.023114421865585804,Morning,South
2024-01-01 10:00:00,Vijay Makkal Iyakkam rocks!,105,187,NEUTRAL,0.5141143798253531,292,0.3673740053050398,0,0,27,0,0,0,0,36,0,1,4,0,0,27,85581,0,0,0,0.0,0.0034119722835676144,Morning,North
